City,State,City_State_Zip,State_Abbr
Alabaster,Alabama,Alabaster AL 35007 ,AL
Bessemer,Alabama,Bessemer AL 35022 ,AL
Birmingham,Alabama,Birmingham AL 35235 ,AL
Birmingham,Alabama,Birmingham AL 35242 ,AL
Birmingham,Alabama,Birmingham AL 35226 ,AL
Daphne,Alabama,Daphne AL 36526 ,AL
Decatur,Alabama,Decatur AL 35601 ,AL
Dothan,Alabama,Dothan AL 36303 ,AL
Florence,Alabama,Florence AL 35630 ,AL
Fultondale,Alabama,Fultondale AL 35068 ,AL
Gulf Shores,Alabama,Gulf Shores AL 36542 ,AL
Homewood,Alabama,Homewood AL 35209-4501 ,AL
Huntsville,Alabama,Huntsville AL 35802 ,AL
Huntsville,Alabama,Huntsville AL 35806 ,AL
Madison,Alabama,Madison AL 35758 ,AL
Mobile,Alabama,Mobile AL 36606 ,AL
Mobile,Alabama,Mobile AL 36695 ,AL
Montgomery,Alabama,Montgomery AL 36117 ,AL
Opelika,Alabama,Opelika AL 36801 ,AL
Oxford,Alabama,Oxford AL 36203 ,AL
Prattville,Alabama,Prattville AL 36066 ,AL
Tuscaloosa,Alabama,Tuscaloosa AL 35404 ,AL
Anchorage,Alaska,Anchorage AK 99504 ,AK
Anchorage,Alaska,Anchorage AK 99515 ,AK
Wasilla,Alaska,Wasilla AK 99654 ,AK
Bullhead City,Arizona,Bullhead City AZ 86442 ,AZ
Casa Grande,Arizona,Casa Grande AZ 85194 ,AZ
Chandler,Arizona,Chandler AZ 85225 ,AZ
Chandler,Arizona,Chandler AZ 85226 ,AZ
Chandler,Arizona,Chandler AZ 85248 ,AZ
Flagstaff,Arizona,Flagstaff AZ 86001 ,AZ
Fountain Hills,Arizona,Fountain Hills AZ 85268 ,AZ
Gilbert,Arizona,Gilbert AZ 85296 ,AZ
Gilbert,Arizona,Gilbert AZ 85297 ,AZ
Glendale,Arizona,Glendale AZ 85302 ,AZ
Glendale,Arizona,Glendale AZ 85305 ,AZ
Goodyear,Arizona,Goodyear AZ 85395 ,AZ
Goodyear,Arizona,Goodyear AZ 85338 ,AZ
Mesa,Arizona,Mesa AZ 85204 ,AZ
Mesa,Arizona,Mesa AZ 85202 ,AZ
Mesa,Arizona,Mesa AZ 85206 ,AZ
Mesa,Arizona,Mesa AZ 85215 ,AZ
Mesa,Arizona,Mesa AZ 85212 ,AZ
Oro Valley,Arizona,Oro Valley AZ 85737 ,AZ
Peoria,Arizona,Peoria AZ 85383 ,AZ
Peoria,Arizona,Peoria AZ 85382 ,AZ
Phoenix,Arizona,Phoenix AZ 85032 ,AZ
Phoenix,Arizona,Phoenix AZ 85022 ,AZ
Phoenix,Arizona,Phoenix AZ 85050 ,AZ
Phoenix,Arizona,Phoenix AZ 85042 ,AZ
Phoenix,Arizona,Phoenix AZ 85027 ,AZ
Phoenix,Arizona,Phoenix AZ 85018 ,AZ
Phoenix,Arizona,Phoenix AZ 85044 ,AZ
Phoenix,Arizona,Phoenix AZ 85015 ,AZ
Phoenix,Arizona,Phoenix AZ 85035 ,AZ
Prescott,Arizona,Prescott AZ 86301 ,AZ
Queen Creek,Arizona,Queen Creek AZ 85142 ,AZ
Scottsdale,Arizona,Scottsdale AZ 85260 ,AZ
Scottsdale,Arizona,Scottsdale AZ 85262 ,AZ
Scottsdale,Arizona,Scottsdale AZ 85250 ,AZ
Sierra Vista,Arizona,Sierra Vista AZ 85635 ,AZ
Surprise,Arizona,Surprise AZ 85374 ,AZ
Tempe,Arizona,Tempe AZ 85281 ,AZ
Tempe,Arizona,Tempe AZ 85283 ,AZ
Tolleson,Arizona,Tolleson AZ 85353 ,AZ
Tucson,Arizona,Tucson AZ 85714 ,AZ
Tucson,Arizona,Tucson AZ 85716 ,AZ
Tucson,Arizona,Tucson AZ 85741 ,AZ
Tucson,Arizona,Tucson AZ 85705 ,AZ
Tucson,Arizona,Tucson AZ 85711 ,AZ
Tucson,Arizona,Tucson AZ 85715 ,AZ
Tucson,Arizona,Tucson AZ 85748 ,AZ
Yuma,Arizona,Yuma AZ 85365 ,AZ
Bryant,Arkansas,Bryant AR 72022 ,AR
Conway,Arkansas,Conway AR 72032 ,AR
Fayetteville,Arkansas,Fayetteville AR 72703 ,AR
Fort Smith,Arkansas,Fort Smith AR 72903 ,AR
Jonesboro,Arkansas,Jonesboro AR 72401 ,AR
Little Rock,Arkansas,Little Rock AR 72211 ,AR
Little Rock,Arkansas,Little Rock AR 72205 ,AR
North Little Rock,Arkansas,North Little Rock AR 72116 ,AR
Rogers,Arkansas,Rogers AR 72758 ,AR
Albany,California,Albany CA 94710 ,CA
Alhambra,California,Alhambra CA 91801 ,CA
Aliso Viejo,California,Aliso Viejo CA 92656 ,CA
Anaheim,California,Anaheim CA 92802 ,CA
Anaheim,California,Anaheim CA 92808 ,CA
Antioch,California,Antioch CA 94531 ,CA
Apple Valley,California,Apple Valley CA 92308 ,CA
Apple Valley,California,Apple Valley CA 92307 ,CA
Atwater,California,Atwater CA 95301 ,CA
Auburn,California,Auburn CA 95603 ,CA
Azusa,California,Azusa CA 91702 ,CA
Bakersfield,California,Bakersfield CA 93311 ,CA
Bakersfield,California,Bakersfield CA 93304 ,CA
Bakersfield,California,Bakersfield CA 93306 ,CA
Bakersfield,California,Bakersfield CA 93312 ,CA
Baldwin Park,California,Baldwin Park CA 91706 ,CA
Brea,California,Brea CA 92821 ,CA
Buena Park,California,Buena Park CA 90621 ,CA
Burbank,California,Burbank CA 91504 ,CA
Camarillo,California,Camarillo CA 93010 ,CA
Canoga Park,California,Canoga Park CA 91303 ,CA
Capitola,California,Capitola CA 95010 ,CA
Carson,California,Carson CA 90746 ,CA
